Account ID,Backlog Rev,Bio Reactors used,BM Test,Campaign ID,Cell Culture Media,Cell Type,Close Date,Closed,Closed Lost Reason,COVID Notes,COVID Status,Created By ID,Created by Lead Conversion,Created Date,Deleted,DOR Distributor,Final Quote,Fiscal Period,Fiscal Quarter,Fiscal Year,Forecast Category,Forecast Q Commit,Forecast Q Prior Commit,Funding Source,Has Line Item,Has Open Activity,Has Overdue Task,Industry,Install This Quarter,Interface Type,Internal Forecast,Last Modified By ID,Last Modified Date,Last Stage Change Date,LDO,LDO Priority Level,Lead Application,Lead Source,Mass Spec Manufacturer,Mass Spec Type,Media Provider,Opportunity ID,Opportunity Type,Order Finalized,Other Closed Lost Details,Other Mass Spec Type,Other Research Area,Owner ID,Price Book ID,Primary Application,Primary Application (FF),Primary Contact,Product Category,Product of Interest,Purchase Agent,Record Type ID,Registered Vendor (confirmed),Secondary Application (FF),Ship This Quarter,Ship This Quarter List,Signing Authority,Stage,Standard Application,System Modstamp,Technical Owner,Validated Customer Needs,Won,# Close Date Extensions,# Close Date Month Extensions,Amount,Expected_Amount,Probability (%),Push Count
0015A00001ztwmzQAA,FALSE,Other,FALSE,Other,Other,other,6/21/2021,TRUE,Other,Other,Other,0055A000009GxI2QAK,FALSE,6/21/2021,FALSE,Other,FALSE,02-01-2021,2,2021,Closed,FALSE,FALSE,Other,TRUE,FALSE,FALSE,International,FALSE,Other,FALSE,0055A000009GxI2QAK,6/21/2021,,FALSE,Other,Other,Field Sales,Other,Other,Other,0066e00001eaOTRAA2,Other,TRUE,Other,Other,Other,0055A000009GxI2QAK,01si00000040RFIAA2,Other,Other,0035A00003hldRzQAI,Other,MX908,Other,0125A000001NaBLQA0,FALSE,Other,FALSE,Other,Other,Closed Won,FALSE,6/29/2021,Other,FALSE,TRUE,0,0,5085.75,5085.75,100,0
0013100001gxRq8AAE,FALSE,Other,FALSE,7015A000001eOy9QAE,Other,other,06-10-2021,TRUE,Other,Other,Other,00531000007MUoEAAW,FALSE,5/17/2021,FALSE,Other,FALSE,02-01-2021,2,2021,Closed,TRUE,FALSE,Other,TRUE,FALSE,FALSE,State and Local,FALSE,Other,FALSE,00531000007MUoEAAW,6/17/2021,06-10-2021,FALSE,Other,Other,Inside Sales,Other,Other,Other,0066e00001eJegzAAC,Other,TRUE,Other,Other,Other,00531000007MUoEAAW,01s31000003qafjAAA,Other,All Hazards,0036e00003qhdGvAAI,Other,MX908,Other,0125A000001NaBLQA0,FALSE,Other,FALSE,Other,Other,Closed Won,FALSE,6/29/2021,Other,FALSE,TRUE,0,0,6500,6500,100,0
0016e00002ZiylrAAB,FALSE,Other,FALSE,Other,Other,other,6/15/2021,TRUE,Other,Other,Other,0055A000009GxI2QAK,FALSE,5/17/2021,FALSE,Other,FALSE,02-01-2021,2,2021,Closed,TRUE,FALSE,Other,TRUE,FALSE,FALSE,International,FALSE,Other,FALSE,0055A000009GxI2QAK,6/15/2021,6/15/2021,FALSE,Other,Other,Field Sales,Other,Other,Other,0066e00001eJdYLAA0,Other,TRUE,Other,Other,Other,0055A000009GxI2QAK,01si00000040RFIAA2,Other,Drugs,0035A00003eNTxFQAW,Other,MX908,Other,0125A000001NaBLQA0,FALSE,Explosives,FALSE,Other,Other,Closed Won,FALSE,6/29/2021,Other,FALSE,TRUE,0,0,48750,48750,100,0
0015A00002KuRNaQAN,FALSE,Other,FALSE,Other,Other,other,6/16/2021,TRUE,Other,Other,Other,0055A00000Bd5F0QAJ,FALSE,5/13/2021,FALSE,Other,FALSE,02-01-2021,2,2021,Closed,TRUE,TRUE,Other,TRUE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Other,FALSE,0055A00000Bd5F0QAJ,6/16/2021,6/16/2021,FALSE,Other,Other,Field Sales,Other,Other,Other,0066e00001e2431AAA,Other,FALSE,Other,Other,Other,0055A00000Bd5F0QAJ,01s5A000005xBsuQAE,Other,Other,0035A00003fL7q1QAC,System,Rebel,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Closed Won,FALSE,6/29/2021,0056e00000BdE5OAAV,FALSE,TRUE,0,0,139659.48,139659.48,100,0
0016e00002ZiuBhAAJ,FALSE,Other,FALSE,Other,Other,other,6/25/2021,TRUE,Other,Other,Other,0056e00000BdAUZAA3,TRUE,06-11-2021,FALSE,Other,FALSE,02-01-2021,2,2021,Closed,TRUE,TRUE,Other,TRUE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Other,FALSE,0055A00000BcmLYQAZ,6/25/2021,6/25/2021,FALSE,Other,Other,Field Sales,Other,Other,Other,0066e00001eMUbsAAG,Other,FALSE,Other,Other,Other,0056e00000BdAUZAA3,01s5A000005xBsuQAE,Other,Other,0036e00003s3ofiAAA,System,Rebel,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Closed Won,FALSE,6/29/2021,0055A00000Bd3dKQAR,FALSE,TRUE,0,0,113682.54,113682.54,100,0
0015A00002QdSBbQAN,FALSE,Other,FALSE,Other,Other,other,6/25/2021,TRUE,Other,Other,Other,0055A00000BNpn5QAD,TRUE,06-10-2021,FALSE,Other,FALSE,02-01-2021,2,2021,Closed,TRUE,TRUE,Other,TRUE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Other,FALSE,0055A00000BcmLYQAZ,6/25/2021,6/25/2021,FALSE,Other,Other,Field Sales,Other,Other,Other,0066e00001eLp5nAAC,Other,FALSE,Other,Other,Other,0056e00000BdAUZAA3,01s5A000005xBsuQAE,Other,Other,0035A00003kghlGQAQ,System,Rebel,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,0035A00003kghlGQAQ,Closed Won,FALSE,6/29/2021,0055A00000Bd3dKQAR,FALSE,TRUE,0,0,107824,107824,100,0
0013100001pvI87AAE,FALSE,Other,FALSE,Other,Other,other,3/31/2022,FALSE,Other,Other,Other,0055A000008zqzaQAA,FALSE,10/19/2020,FALSE,Other,FALSE,01-01-2022,1,2022,Pipeline,FALSE,FALSE,Other,TRUE,TRUE,TRUE,Biopharma/Pharmaceuticals,FALSE,Auto-Ti,FALSE,0055A00000Bd0KeQAJ,6/23/2021,,FALSE,Other,Other,Referral,Other,Other,Other,0065A00001cHC2jQAG,Other,FALSE,Other,Other,Other,0055A00000Bd0KeQAJ,01s5A000005x0sjQAA,Other,Other,0035A00003keNJ5QAM,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Funnel,TRUE,6/29/2021,0055A00000BctMnQAJ,FALSE,FALSE,0,0,106175,5308.75,5,0
0013100001enW6YAAU,FALSE,Other,FALSE,7015A000001qVpeQAE,Other,other,3/31/2022,FALSE,Other,Other,Impacted,0055A00000Bb2djQAB,FALSE,05-12-2020,FALSE,Other,FALSE,01-01-2022,1,2022,Pipeline,FALSE,FALSE,Other,TRUE,TRUE,TRUE,Biopharma/Pharmaceuticals,FALSE,Auto-Bi,FALSE,0055A000008zqzaQAA,6/25/2021,,FALSE,Other,Other,Sales Seminar,Bruker,Other (text field),Other,0065A00001a5vL4QAI,Other,FALSE,Other,Compact,Other,0055A000008zqzaQAA,01s5A000005x0sjQAA,Other,Other,0035A00003meCe3QAE,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Yes,Other,Quoted Funnel,TRUE,6/29/2021,0055A000008iLmcQAE,FALSE,FALSE,0,0,36245,10873.5,30,0
0015A00002B5rzBQAR,FALSE,Other,FALSE,Other,Other,other,9/30/2021,FALSE,Other,Other,Other,00531000007KAu8AAG,FALSE,3/21/2019,FALSE,Other,FALSE,03-01-2021,3,2021,Pipeline,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Auto-Classic,FALSE,0055A00000BclF5QAJ,06-01-2021,03-11-2021,FALSE,Other,Other,Trade Show,Thermo,"QE EMR UHMR (Plus, HF, HF-X with BioPharma)",Other,0065A00001G6P3lQAF,Other,FALSE,Other,Other,RNA,00531000007KAu8AAG,01s5A000005xBsuQAE,Biotherapeutics,Other,0035A00003bc9i2QAA,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Funnel,TRUE,6/29/2021,0055A00000Bd4jEQAR,TRUE,FALSE,0,0,104701,5235.05,5,0
0015A000027SCCiQAO,FALSE,Other,FALSE,Other,Other,other,12/31/2021,FALSE,Other,Symphogen has just been acqured by Servier,Unknown,00531000007KAu8AAG,FALSE,5/24/2019,FALSE,Other,FALSE,04-01-2021,4,2021,Pipeline,FALSE,FALSE,Other,TRUE,FALSE,FALSE,Biopharma/Pharmaceuticals,FALSE,Auto-Ti,FALSE,0055A00000BclF5QAJ,06-01-2021,05-11-2021,FALSE,Other,Other,Sales Seminar,Thermo,"QE EMR UHMR (Plus, HF, HF-X with BioPharma)",Other,0065A00001SgtRoQAJ,Other,FALSE,Other,Thermo Exploris,Other,00531000007KAu8AAG,01s5A000005xBsuQAE,Biotherapeutics,Other,0035A00003VEfIeQAL,System,ZipChip,Other,0125A000001ESVfQAO,FALSE,Other,FALSE,Other,Other,Quoted Funnel,TRUE,6/29/2021,0055A00000Bd4jEQAR,TRUE,FALSE,0,0,98134,29440.2,30,0
